98bbec3e5e40dd0b08e73e6c9148ef 33 99 100   	0.00638103 0.0208124 0.00698811   	0.0110141 0.0458148 0.0135906   	0.0105567 0.0336338 0.000236
026b8d1a367107da288d902de891b9 33 99 100   	0.00621018 0.0192573 0.00749963   	0.0104714 0.0466556 0.0146516   	0.0111969 0.0339599 0.000195845
90e8672da95be6d5617a567dd3206e 33 99 100   	0.00607934 0.020627 0.00744635   	0.0108106 0.0458925 0.0155713   	0.0119347 0.0351421 0.000226845
2c8ba04ffa49e254296b3f04d19cda 33 99 100   	0.00660437 0.0217608 0.00782701   	0.0119687 0.0494214 0.0147922   	0.0115115 0.0313464 0.000191606
6feb6d63af92d58449dc36613f8199 41 123 100   	0.00746615 0.0269356 0.00834079   	0.0126779 0.0640702 0.01688   	0.0127652 0.051118 0.000309634
c43549c9e4680eb9918627ffb0aa60 41 123 100   	0.00731954 0.0281759 0.00809473   	0.0122117 0.0642155 0.0178501   	0.012434 0.0510682 0.000299211
11cc3306e6547f9cb21e0bc9af7916 41 123 100   	0.00687774 0.0290197 0.00825508   	0.0124861 0.0634845 0.0172153   	0.0123693 0.0520828 0.000233183
f980b5e6dd70a61ed5d181263db6f3 41 123 100   	0.00758839 0.0286036 0.00875875   	0.0122929 0.0654382 0.0175053   	0.0125054 0.0506435 0.000233718
6ea3a63e33b3587dd46af64a37b87b 41 123 100   	0.00785498 0.0307601 0.00917723   	0.01241 0.0650812 0.0166616   	0.0119588 0.0505633 0.000232958
336f0607fd640a0724aa2c7cdeb4c4 41 123 100   	0.00699932 0.0292629 0.00857621   	0.0130918 0.0699868 0.0189992   	0.0134307 0.0510456 0.000228296
c40f502ab80923e2716acb64434106 51 153 100   	0.00792008 0.0263071 0.00888044   	0.0130164 0.0595292 0.0173651   	0.0129293 0.0445122 0.000236043
865052b1fc2994dfdafcd23ae26c01 51 153 100   	0.00749059 0.0261687 0.00769377   	0.0132749 0.0606491 0.0183472   	0.0136549 0.04494 0.000313786
d57fa61eae99099a0d0b6fcbc62523 51 153 100   	0.00785021 0.0270158 0.00818376   	0.0134935 0.0605931 0.0183464   	0.0135565 0.0445567 0.000300286
751d7273308d52e8d3c579de6840d2 51 153 100   	0.00839923 0.0266106 0.00819814   	0.0133314 0.0591144 0.0185087   	0.0137575 0.0454817 0.000236429
8b5637ce3de927591e92df9ecd33c4 51 153 100   	0.00771471 0.0283314 0.0085513   	0.0142454 0.0611864 0.0183324   	0.0135908 0.0439429 0.000236129
0b30a017c6d0a46e969550be35baba 51 153 100   	0.00758431 0.0255547 0.00888226   	0.0135313 0.0621914 0.0172013   	0.0139762 0.0475587 0.000232171
07758653c9752f330402a99eef7d95 63 189 100   	0.00852554 0.0237095 0.00955226   	0.0153731 0.072759 0.0188535   	0.015777 0.0545381 0.000255053
94dd7f732a6a0e420ce5985f5de5d0 63 189 100   	0.00903297 0.0257065 0.00957103   	0.0156263 0.0712347 0.0187754   	0.0157979 0.0549699 0.000320974
d3574adf24939bf6d010c9f303388d 63 189 100   	0.0084969 0.0238759 0.00950945   	0.0153718 0.0743511 0.0202315   	0.017053 0.0570108 0.000288526
08bb56e955623020f1a83a40a1f0ad 63 189 100   	0.00888315 0.0257107 0.00947136   	0.0157659 0.0748594 0.0200653   	0.0169344 0.0551448 0.000253724
0a178050644ab982507faeda7350a1 63 189 100   	0.00887846 0.0254907 0.00930745   	0.0159166 0.074804 0.0202395   	0.0170655 0.0553459 0.000254197
05411bb9a2ba8da701face1ba54371 63 189 100   	0.0087883 0.0255051 0.00975424   	0.0156627 0.0779457 0.0200658   	0.0169053 0.0542273 0.000247895
5098d4938d57d318c956a8e94d1a63 78 234 100   	0.0112397 0.0312386 0.0117263   	0.0214105 0.0902381 0.0271088   	0.0211273 0.0635022 0.00036409
13309316017b3ce28d42db8edad042 78 234 100   	0.0114354 0.0323514 0.0133384   	0.0220964 0.0874768 0.0253336   	0.0212076 0.0640688 0.000363756
685766d2c3670577bb6f994338e7c4 78 234 100   	0.0112669 0.0305792 0.0121877   	0.0208795 0.087057 0.0251942   	0.0228508 0.0684575 0.000364949
0325f109c5081ffc9eac9f20c81a56 78 234 100   	0.0110938 0.0313821 0.0119952   	0.0211589 0.085274 0.0253765   	0.0230213 0.0688621 0.000348885
eb7e660dec731fa5d48f0b4eff30ee 78 234 100   	0.011518 0.0310419 0.0129867   	0.0212012 0.0872981 0.0261143   	0.0230416 0.0678799 0.000286154
54a34c2d70e1fb9146f8f6dcd812bd 78 234 100   	0.0115148 0.0313406 0.0123364   	0.0212864 0.0882709 0.0272228   	0.0228446 0.0666913 0.000286256
6e38bbd292d4f50f2f31c3ee0008c4 97 291 100   	0.012326 0.0331665 0.0143   	0.0214553 0.0807991 0.0252606   	0.0216725 0.0552621 0.000347835
734172df7dfb1cd97fb46db609793e 97 291 100   	0.0130715 0.0331703 0.0143448   	0.0218 0.0813188 0.0255598   	0.0218046 0.055744 0.000348861
1c6f1130e760b02b83994c8a375be5 97 291 100   	0.0132063 0.0356738 0.0154453   	0.0231253 0.0864559 0.0269736   	0.0231512 0.0538373 0.000269316
185e0f49570269d5db40f7efab0a82 97 291 100   	0.0124463 0.0359754 0.0155737   	0.0233213 0.087191 0.0272055   	0.0233446 0.0545276 0.00027043
ad148bdd2cc78d29ae2813cf7d9aee 97 291 100   	0.0133122 0.0356808 0.0154426   	0.0231249 0.0864519 0.0269742   	0.0231455 0.0541747 0.000264051
5a44b0ce66f0565a84620c758ca5f3 97 291 100   	0.0133283 0.0359882 0.015581   	0.0233288 0.0872188 0.0272126   	0.023356 0.0540276 0.000263532
9850676fbe469596725b6bee0f0fa1 121 363 100   	0.0126574 0.0279938 0.0137122   	0.0228602 0.0813204 0.0289079   	0.0224293 0.0573726 0.000336974
31f8a58629d8817b171f91d7494acb 121 363 100   	0.0124962 0.0276585 0.0144875   	0.0222746 0.0839096 0.0288788   	0.0224743 0.058376 0.000374377
4ecd35d175267d2a68ae7a8d24b986 121 363 100   	0.0122 0.0275171 0.0144262   	0.0228988 0.0836628 0.0301692   	0.0222527 0.0585758 0.000337026
30a301e85eef57e086f772dab4fc62 121 363 100   	0.0119878 0.0276856 0.0138779   	0.0223901 0.0843053 0.0282539   	0.0229469 0.0601088 0.000337909
7f8785addfe2e6064fe01d34c5e61e 121 363 100   	0.0125473 0.0276887 0.0150895   	0.022394 0.0842739 0.0291934   	0.0226371 0.0578679 0.000333688
